% Model:              refrencia.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 7 2026, 19:57
% Table:              Table 2 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Corrente de curto (A)                             Queda de tensao (V)                               Corrente de curto sem limitador (A)               Tensao da rede (V)
50                                                1.4                                               200                                               1780                                              0.0035                                            -6.601911556484364                                6.273943695095172                                 -6.848917213771576                                173.962497229798
50                                                1.4                                               200                                               1780                                              0.0036666666666666666                             -6.725278281218596                                5.601753577137583                                 -6.945819760633462                                176.42382192008992
50                                                1.4                                               200                                               1780                                              0.003833333333333333                              -6.821761979952503                                4.916128094847102                                 -7.015310330143334                                178.18888238564068
50                                                1.4                                               200                                               1780                                              0.004                                             -6.891053735458944                                4.217947858514992                                 -7.057114674770557                                179.25071273917214
50                                                1.4                                               200                                               1780                                              0.004166666666666667                              -6.932948870019768                                3.5082211228809914                                -7.0710678118654755                               179.60512242138307
50                                                1.4                                               200                                               1780                                              0.004333333333333333                              -6.947332888885635                                2.788457361477057                                 -7.057114674770557                                179.25071273917214
50                                                1.4                                               200                                               1780                                              0.0045                                            -6.934245427010223                                2.059048539581024                                 -7.015310330143335                                178.1888823856407
50                                                1.4                                               200                                               1780                                              0.004666666666666666                              -6.893763073104344                                1.3222398632396075                                -6.945819760633464                                176.42382192008995
50                                                1.4                                               200                                               1780                                              0.004833333333333334                              -6.8261397478757475                               0.5785476337540236                                -6.848917213771576                                173.962497229798
50                                                1.4                                               200                                               1780                                              0.005                                             -6.731741627632762                                -0.17161530302697833                              -6.724985119639575                                170.8146220388452
50                                                1.4                                               200                                               1780                                              0.005166666666666667                              -6.610967219778476                                -0.925947809890512                                -6.574512581593809                                166.99261957248277
50                                                1.4                                               200                                               1780                                              0.005333333333333333                              -6.464362620133302                                -1.6832370230472105                               -6.398093445997586                                162.51157352833866
50                                                1.4                                               200                                               1780                                              0.0055                                            -6.292629121570173                                -2.443611139928471                                -6.196423958580862                                157.38916854795391
50                                                1.4                                               200                                               1780                                              0.005666666666666666                              -6.096165512862665                                -3.196983603129809                                -5.970300016676452                                151.64562042358187
50                                                1.4                                               200                                               1780                                              0.005833333333333333                              -5.875842339411938                                -3.9427991053713747                               -5.720614028176846                                145.30359631569186
50                                                1.4                                               200                                               1780                                              0.006                                             -5.633174818565197                                -4.694515095513486                                -5.448351389607972                                138.3881252960425
50                                                1.4                                               200                                               1780                                              0.006166666666666667                              -5.369523348281634                                -5.459393476983273                                -5.154586597219301                                130.92649956937024
50                                                1.4                                               200                                               1780                                              0.006333333333333333                              -5.086580102517113                                -6.250967840409017                                -4.840479006438017                                122.94816676352565
50                                                1.4                                               200                                               1780                                              0.0065                                            -4.7814922440606535                               -6.965289286000716                                -4.5072682564228295                               114.48461371313986
50                                                1.4                                               200                                               1780                                              0.006666666666666666                              -4.458471102055287                                -7.67592379673104                                 -4.156269377774537                                105.56924219547325
50                                                1.4                                               200                                               1780                                              0.006833333333333333                              -4.113420822560128                                -8.243651784167154                                -3.788867602711027                                96.23723710886009
50                                                1.4                                               200                                               1780                                              0.007                                             -3.76393080023378                                 -9.078414711948279                                -3.4065128981885713                               86.52542761398972
50                                                1.4                                               200                                               1780                                              0.007166666666666667                              -3.3923226546730607                               -9.69285364266106                                 -3.010714243544672                                76.47214178603467
50                                                1.4                                               200                                               1780                                              0.007333333333333333                              -3.007977271871201                                -10.285567354280015                               -2.603033675246004                                66.1170553512485
50                                                1.4                                               200                                               1780                                              0.0075                                            -2.6156238167956247                               -10.935809841608496                               -2.185080122244109                                55.50103510500037
50                                                1.4                                               200                                               1780                                              0.007666666666666666                              -2.2146463636232387                               -11.586040006826506                               -1.7585030562678647                               44.665977629203766
50                                                1.4                                               200                                               1780                                              0.007833333333333333                              -1.8081025262512702                               -12.271160221133428                               -1.3249859821121592                               33.654643945648836
50                                                1.4                                               200                                               1780                                              0.008                                             -1.3971355118756554                               -12.976751243856935                               -0.8862397936135715                               22.510490757784716
50                                                1.4                                               200                                               1780                                              0.008166666666666666                              -0.9838131029859889                               -13.711353868879426                               -0.443996021534043                                11.277498946964691
50                                                1.4                                               200                                               1780                                              0.008333333333333333                              -0.5689878193742814                               -14.452290612106648                               -0.000000000000004006140973603043                 0.0000000000001017559807295173
50                                                1.4                                               200                                               1780                                              0.008499999999999999                              -0.15660908071825602                              -15.255369597208112                               0.44399602153403184                               -11.277498946964409
50                                                1.4                                               200                                               1780                                              0.008666666666666666                              0.26170289206431846                               -15.8632372993509                                 0.8862397936135664                                -22.510490757784588
50                                                1.4                                               200                                               1780                                              0.008833333333333334                              0.6819767649119125                                -16.332434116886134                               1.324985982112154                                 -33.65464394564871
50                                                1.4                                               200                                               1780                                              0.009                                             1.1002649722080957                                -16.719247335117945                               1.7585030562678574                                -44.665977629203574
50                                                1.4                                               200                                               1780                                              0.009166666666666667                              1.5207615538403871                                -16.873691637454357                               2.185080122244102                                 -55.501035105000184
50                                                1.4                                               200                                               1780                                              0.009333333333333332                              1.929128209202147                                 -17.117198837513786                               2.6030336752459964                                -66.11705535124831
50                                                1.4                                               200                                               1780                                              0.0095                                            2.337444364875882                                 -17.101054918187153                               3.0107142435446677                                -76.47214178603456
50                                                1.4                                               200                                               1780                                              0.009666666666666667                              2.725591537555789                                 -17.29540256007257                                3.4065128981885677                                -86.5254276139896
50                                                1.4                                               200                                               1780                                              0.009833333333333333                              3.117621249983493                                 -17.04965735927918                                3.78886760271102                                  -96.2372371088599
50                                                1.4                                               200                                               1780                                              0.01                                              3.483133942449117                                 -17.097640057265586                               4.156269377774533                                 -105.56924219547315
50                                                1.4                                               200                                               1780                                              0.010166666666666666                              3.8451798488859015                                -16.81704555143783                                4.507268256422823                                 -114.48461371313971
50                                                1.4                                               200                                               1780                                              0.010333333333333333                              4.185628862985628                                 -16.633193643690607                               4.840479006438015                                 -122.94816676352556
50                                                1.4                                               200                                               1780                                              0.010499999999999999                              4.509312295246407                                 -16.389967270111367                               5.1545865972192955                                -130.9264995693701
50                                                1.4                                               200                                               1780                                              0.010666666666666666                              4.816799985009756                                 -16.0414056767946                                 5.448351389607968                                 -138.3881252960424
50                                                1.4                                               200                                               1780                                              0.010833333333333334                              5.108068039879332                                 -15.558668102756787                               5.720614028176843                                 -145.3035963156918
50                                                1.4                                               200                                               1780                                              0.011                                             5.380553812474533                                 -14.979553586728619                               5.970300016676449                                 -151.64562042358176
50                                                1.4                                               200                                               1780                                              0.011166666666666667                              5.631492638937599                                 -14.349255518938804                               6.1964239585808585                                -157.3891685479538
50                                                1.4                                               200                                               1780                                              0.011333333333333332                              5.8610392799793996                                -13.641175816861802                               6.3980934459975805                                -162.51157352833854
50                                                1.4                                               200                                               1780                                              0.0115                                            6.068735447842278                                 -12.846739197288855                               6.574512581593806                                 -166.99261957248268
50                                                1.4                                               200                                               1780                                              0.011666666666666665                              6.254043716707033                                 -11.961911634486478                               6.724985119639571                                 -170.8146220388451
50                                                1.4                                               200                                               1780                                              0.011833333333333333                              6.416433420270214                                 -10.985088354934538                               6.848917213771574                                 -173.96249722979798
50                                                1.4                                               200                                               1780                                              0.012                                             6.55526915811735                                  -9.919985303909257                                6.945819760633464                                 -176.42382192008995
50                                                1.4                                               200                                               1780                                              0.012166666666666666                              6.669939903637089                                 -8.772408833258599                                7.015310330143334                                 -178.18888238564065
50                                                1.4                                               200                                               1780                                              0.012333333333333333                              6.759976646409711                                 -7.547305920365501                                7.057114674770557                                 -179.25071273917214
50                                                1.4                                               200                                               1780                                              0.012499999999999999                              6.824930119001714                                 -6.251897398739514                                7.0710678118654755                                -179.60512242138307
50                                                1.4                                               200                                               1780                                              0.012666666666666666                              6.864385509624505                                 -4.89532079470972                                 7.057114674770557                                 -179.25071273917214
50                                                1.4                                               200                                               1780                                              0.012833333333333334                              6.877961624592993                                 -3.4886571209786736                               7.015310330143335                                 -178.1888823856407
50                                                1.4                                               200                                               1780                                              0.013                                             6.865298886971342                                 -2.0452301910178634                               6.945819760633464                                 -176.42382192008995
