% Model:              Simulacao_20260527 - OTIMIZACAO.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 28 2026, 17:10
% Table:              Table 5 - Global Evaluation 1
% H (cm)                                          W (cm)                                            N_DC                                              N_AC                                              Time (s)                                          Campo B (T)                                       Permeabilidade Relativa (1)
20                                                2                                                 200                                               500                                               0.07666666666666666                               1.9376009862411443                                35.782807187656445
20                                                2                                                 200                                               500                                               0.07833333333333334                               1.5617482804424887                                177.81685264031773
20                                                2                                                 200                                               500                                               0.08                                              1.2486095278269946                                479.16503242980133
20                                                2                                                 200                                               500                                               0.08166666666666667                               1.352991469565334                                 337.13256397878393
20                                                2                                                 200                                               500                                               0.08333333333333334                               1.9010897462493104                                46.56880876336804
20                                                2                                                 200                                               500                                               0.08499999999999999                               2.185958232643821                                 9.791102332456756
20                                                2                                                 200                                               1000                                              0                                                 0.17392811726136423                               1199.9992691505195
20                                                2                                                 200                                               1000                                              0.003333333333333333                              2.1333470294292054                                12.381600347501562
20                                                2                                                 200                                               1000                                              0.006666666666666666                              2.1203601097389506                                13.275442507977749
20                                                2                                                 200                                               1000                                              0.009999999999999998                              2.057020251056077                                 18.221562348191693
20                                                2                                                 200                                               1000                                              0.013333333333333332                              2.0301509126891424                                21.16038022717125
20                                                2                                                 200                                               1000                                              0.016666666666666666                              2.0856621109270668                                15.92648301074563
20                                                2                                                 200                                               1000                                              0.019999999999999997                              2.132783225634724                                 12.417686224073345
20                                                2                                                 200                                               1000                                              0.02333333333333333                               2.1197280587107636                                13.322550955246488
20                                                2                                                 200                                               1000                                              0.026666666666666665                              2.0570100374158784                                18.222511800031203
20                                                2                                                 200                                               1000                                              0.03                                              2.0301502112811165                                21.160470495735506
20                                                2                                                 200                                               1000                                              0.03333333333333333                               2.085662066042628                                 15.926486111170902
20                                                2                                                 200                                               1000                                              0.03666666666666667                               2.132783225274024                                 12.417686247233098
20                                                2                                                 200                                               1000                                              0.039999999999999994                              2.119728058692086                                 13.322550956643932
20                                                2                                                 200                                               1000                                              0.04333333333333333                               2.057010037415576                                 18.22251180005932
20                                                2                                                 200                                               1000                                              0.04666666666666666                               2.0301502112810965                                21.160470495738075
20                                                2                                                 200                                               1000                                              0.049999999999999996                              2.0856620660426266                                15.926486111170997
20                                                2                                                 200                                               1000                                              0.051666666666666666                              2.1798783031303572                                10.028396770735231
20                                                2                                                 200                                               1000                                              0.05333333333333334                               2.333786743945092                                 6.29939412381687
20                                                2                                                 200                                               1000                                              0.055                                             2.414469358023329                                 5.3516850617866405
20                                                2                                                 200                                               1000                                              0.05666666666666667                               2.3754038406226665                                5.7642132466356175
20                                                2                                                 200                                               1000                                              0.058333333333333334                              2.2453045469940207                                7.959575816522125
20                                                2                                                 200                                               1000                                              0.06                                              2.0528823018153988                                18.61530440636153
20                                                2                                                 200                                               1000                                              0.06166666666666667                               1.6870047073708125                                114.4067712578157
20                                                2                                                 200                                               1000                                              0.06333333333333334                               1.2322091414137402                                503.0228530829276
20                                                2                                                 200                                               1000                                              0.065                                             1.0369996862431123                                1015.3335358250416
20                                                2                                                 200                                               1000                                              0.06666666666666667                               1.2512726446016376                                475.55828763455816
20                                                2                                                 200                                               1000                                              0.06833333333333333                               1.834703534435626                                 59.53037728829172
20                                                2                                                 200                                               1000                                              0.07                                              2.2178312354876684                                8.70893066242943
20                                                2                                                 200                                               1000                                              0.07166666666666667                               2.393831661989686                                 5.5602889634958155
20                                                2                                                 200                                               1000                                              0.07333333333333333                               2.3932138559840785                                5.5668424425029395
20                                                2                                                 200                                               1000                                              0.075                                             2.2614066387785443                                7.584457451427459
20                                                2                                                 200                                               1000                                              0.07666666666666666                               2.064000654322768                                 17.597063780076045
20                                                2                                                 200                                               1000                                              0.07833333333333334                               1.7008647904586214                                109.42804597958504
20                                                2                                                 200                                               1000                                              0.08                                              1.2428699056740402                                487.1822277987453
20                                                2                                                 200                                               1000                                              0.08166666666666667                               1.047119553799678                                 976.0980272540035
20                                                2                                                 200                                               1000                                              0.08333333333333334                               1.2577780038110744                                467.0335292637273
20                                                2                                                 200                                               1000                                              0.08499999999999999                               1.8385129262034874                                58.588636196169645
20                                                2                                                 200                                               1500                                              0                                                 0.24812029168728064                               1199.9992691505197
20                                                2                                                 200                                               1500                                              0.003333333333333333                              2.152535554779249                                 11.27654826076637
20                                                2                                                 200                                               1500                                              0.006666666666666666                              2.1355385150036867                                12.243481974588459
20                                                2                                                 200                                               1500                                              0.009999999999999998                              2.0507378020565508                                18.826785547132474
20                                                2                                                 200                                               1500                                              0.013333333333333332                              2.0059021160005246                                24.87296793560513
20                                                2                                                 200                                               1500                                              0.016666666666666666                              2.075044776468662                                 16.699410231804976
20                                                2                                                 200                                               1500                                              0.019999999999999997                              2.1461973383405772                                11.616969087206247
20                                                2                                                 200                                               1500                                              0.02333333333333333                               2.132106232451031                                 12.461321078671988
20                                                2                                                 200                                               1500                                              0.026666666666666665                              2.050522718948625                                 18.848286273799133
20                                                2                                                 200                                               1500                                              0.03                                              2.0058685168725487                                24.879089344770904
20                                                2                                                 200                                               1500                                              0.03333333333333333                               2.0750428211396588                                16.699560250363103
20                                                2                                                 200                                               1500                                              0.03666666666666667                               2.1461972744629376                                11.616972632036099
20                                                2                                                 200                                               1500                                              0.039999999999999994                              2.132106227981178                                 12.461321367875637
20                                                2                                                 200                                               1500                                              0.04333333333333333                               2.0505227193005813                                18.848286238572047
20                                                2                                                 200                                               1500                                              0.04666666666666666                               2.0058685169272468                                24.879089334802874
20                                                2                                                 200                                               1500                                              0.049999999999999996                              2.075042821142845                                 16.699560250118637
20                                                2                                                 200                                               1500                                              0.051666666666666666                              2.153178451198149                                 11.243237982579249
20                                                2                                                 200                                               1500                                              0.05333333333333334                               2.2951815684453845                                6.915677143511479
20                                                2                                                 200                                               1500                                              0.055                                             2.399445131356679                                 5.501593919716657
20                                                2                                                 200                                               1500                                              0.05666666666666667                               2.4007668707504215                                5.487992767729544
20                                                2                                                 200                                               1500                                              0.058333333333333334                              2.3126866232212406                                6.619442624292293
20                                                2                                                 200                                               1500                                              0.06                                              2.145906428640646                                 11.633137503778228
20                                                2                                                 200                                               1500                                              0.06166666666666667                               1.917822491635877                                 40.86535521650891
20                                                2                                                 200                                               1500                                              0.06333333333333334                               1.548861912973846                                 184.98549754822082
20                                                2                                                 200                                               1500                                              0.065                                             1.3035294013139214                                412.9828122748308
20                                                2                                                 200                                               1500                                              0.06666666666666667                               1.3317401497335284                                365.35222263621046
20                                                2                                                 200                                               1500                                              0.06833333333333333                               1.6820904772973313                                116.18552308268644
20                                                2                                                 200                                               1500                                              0.07                                              2.0860949574188465                                15.896646036733904
20                                                2                                                 200                                               1500                                              0.07166666666666667                               2.2815503933170755                                7.16853521540897
20                                                2                                                 200                                               1500                                              0.07333333333333333                               2.347238521212888                                 6.113718826465432
20                                                2                                                 200                                               1500                                              0.075                                             2.2888321287073468                                7.030829060108158
20                                                2                                                 200                                               1500                                              0.07666666666666666                               2.1487645016218364                                11.476398807074789
20                                                2                                                 200                                               1500                                              0.07833333333333334                               1.9319208510756014                                37.098225440896414
20                                                2                                                 200                                               1500                                              0.08                                              1.5742565308514012                                171.47095298791794
20                                                2                                                 200                                               1500                                              0.08166666666666667                               1.3284956232224596                                370.170066259205
20                                                2                                                 200                                               1500                                              0.08333333333333334                               1.404773655406878                                 285.37175296264707
20                                                2                                                 200                                               1500                                              0.08499999999999999                               1.7615989274584907                                80.90216651960377
20                                                2                                                 200                                               200                                               0                                                 0.07200670215285931                               1199.9992691505195
20                                                2                                                 200                                               200                                               0.003333333333333333                              2.1014986841770047                                14.856718561656315
20                                                2                                                 200                                               200                                               0.006666666666666666                              2.097054007509294                                 15.18051145910075
20                                                2                                                 200                                               200                                               0.009999999999999998                              2.081597075266838                                 16.21288594396938
20                                                2                                                 200                                               200                                               0.013333333333333332                              2.0767488067296056                                16.56979452588081
20                                                2                                                 200                                               200                                               0.016666666666666666                              2.0892868684545665                                15.68039674501805
20                                                2                                                 200                                               200                                               0.019999999999999997                              2.1014885815319477                                14.85767499060688
20                                                2                                                 200                                               200                                               0.02333333333333333                               2.097042587783269                                 15.181220392472166
20                                                2                                                 200                                               200                                               0.026666666666666665                              2.081597049177926                                 16.212887818777613
20                                                2                                                 200                                               200                                               0.03                                              2.076748806565143                                 16.56979453828325
20                                                2                                                 200                                               200                                               0.03333333333333333                               2.0892868684536086                                15.680396745081964
20                                                2                                                 200                                               200                                               0.03666666666666667                               2.1014893192144095                                14.857605148886531
20                                                2                                                 200                                               200                                               0.039999999999999994                              2.09704258925241                                  15.181220301263538
20                                                2                                                 200                                               200                                               0.04333333333333333                               2.0815970491823794                                16.212887818457578
20                                                2                                                 200                                               200                                               0.04666666666666666                               2.076748806565154                                 16.569794538282416
20                                                2                                                 200                                               200                                               0.049999999999999996                              2.089286868453609                                 15.680396745081936
20                                                2                                                 200                                               200                                               0.051666666666666666                              2.1475574749615105                                11.54202404303261
20                                                2                                                 200                                               200                                               0.05333333333333334                               2.181760721196112                                 9.953564848969384
20                                                2                                                 200                                               200                                               0.055                                             2.18281719810512                                  9.912109527100142
20                                                2                                                 200                                               200                                               0.05666666666666667                               2.1508092447234555                                11.367078073745342
20                                                2                                                 200                                               200                                               0.058333333333333334                              2.0928646491979603                                15.445643783841456
20                                                2                                                 200                                               200                                               0.06                                              2.0088088203087615                                24.355304842195267
20                                                2                                                 200                                               200                                               0.06166666666666667                               1.9218865705942425                                39.6972734089503
20                                                2                                                 200                                               200                                               0.06333333333333334                               1.9148230752942557                                41.775923151963816
20                                                2                                                 200                                               200                                               0.065                                             1.9964918856997758                                26.393731822606515
20                                                2                                                 200                                               200                                               0.06666666666666667                               2.084459350791009                                 16.010048640395034
20                                                2                                                 200                                               200                                               0.06833333333333333                               2.147039777907969                                 11.570424288365933
20                                                2                                                 200                                               200                                               0.07                                              2.181536914883898                                 9.962396566025847
20                                                2                                                 200                                               200                                               0.07166666666666667                               2.1828092196910904                                9.912421149943965
20                                                2                                                 200                                               200                                               0.07333333333333333                               2.150808957770922                                 11.367093254893652
20                                                2                                                 200                                               200                                               0.075                                             2.0928646329475407                                15.445644832340095
