Time;Corrente
0.103733333;-27.08325211
0.103766667;-27.62542596
0.1038;-28.16280322
0.103833333;-28.6952998
0.103866667;-29.22269492
0.1039;-29.74497735
0.103933333;-30.26188475
0.103966667;-30.77331618
0.104;-31.2791355
0.104033333;-31.77919023
0.104066667;-32.27343232
0.1041;-32.76165574
0.104133333;-33.24381075
0.104166667;-33.71975978
0.1042;-34.18938531
0.104233333;-34.65254269
0.104266667;-35.10912448
0.1043;-35.55908611
0.104333333;-36.00236079
0.104366667;-36.43878487
0.1044;-36.86828178
0.104433333;-37.29074928
0.104466667;-37.706119
0.1045;-38.114312
0.104533333;-38.51525951
0.104566667;-38.90885245
0.1046;-39.29505446
0.104633333;-39.67377601
0.104666667;-40.0449546
0.1047;-40.4085068
0.104733333;-40.76438264
0.104766667;-41.11253711
0.1048;-41.45291876
0.104833333;-41.78547139
0.104866667;-42.11014012
0.1049;-42.42686963
0.104933333;-42.73559411
0.104966667;-43.03624371
0.105;-43.32882232
0.105033333;-43.61325923
0.105066667;-43.88953885
0.1051;-44.1576292
0.105133333;-44.41746579
0.105166667;-44.66899932
0.1052;-44.91220652
0.105233333;-45.14707191
0.105266667;-45.37357487
0.1053;-45.59171594
0.105333333;-45.8014316
0.105366667;-46.00270398
0.1054;-46.19551109
0.105433333;-46.37983155
0.105466667;-46.55567027
0.1055;-46.72300271
0.105533333;-46.88181553
0.105566667;-47.03210213
0.1056;-47.17385158
0.105633333;-47.30705316
0.105666667;-47.43171474
0.1057;-47.54782601
0.105733333;-47.65538196
0.105766667;-47.75438614
0.1058;-47.84483795
0.105833333;-47.92674526
0.105866667;-48.00010877
0.1059;-48.06493738
0.105933333;-48.12124138
0.105966667;-48.16902949
0.106;-48.20831354
0.106033333;-48.23910631
0.106066667;-48.26142197
0.1061;-48.27527653
0.106133333;-48.2806884
0.106166667;-48.27767719
0.1062;-48.26626381
0.106233333;-48.2464704
0.106266667;-48.21832109
0.1063;-48.18184153
0.106333333;-48.13705993
0.106366667;-48.08400453
0.1064;-48.02270621
0.106433333;-47.95319576
0.106466667;-47.87550303
0.1065;-47.78966499
0.106533333;-47.69571643
0.106566667;-47.59369454
0.1066;-47.48363623
0.106633333;-47.36558409
0.106666667;-47.23958167
0.1067;-47.10567214
0.106733333;-46.96389014
0.106766667;-46.81429018
0.1068;-46.65691512
0.106833333;-46.49181088
0.106866667;-46.31903556
0.1069;-46.1386378
0.106933333;-45.95065633
0.106966667;-45.755151
0.107;-45.55217523
0.107033333;-45.34179129
0.107066667;-45.12408492
0.1071;-44.89909355
0.107133333;-44.66686783
